,category,cost_type,price,sup_size,dedi_size,title,lat_num,lng_num,detail_num
0,빌라연립다세대,년월세,"1,000/680",82.69,68.19,신엄리 자운당사거리 인근 애월렉슬빌라 년세 임대,33.46518100358821,126.35831667961223,1111441
1,전원농가주택,매매,"27,000",317,143,마을안에 위치한 리모데릴링 된 자그마한 농가주택,,,1115790
2,빌라연립다세대,전세,"18,900",86.7102,63,신촌에덴빌리지 탑층 방2개 복층,33.531576784975165,126.62425281808744,955319
3,아파트,년월세,"1,000/1,100",78,57.03,해오름아파트 년월세,,,1115457
4,아파트,매매,"22,000",116.80,83.9,CGV옆 위치좋은 광양씨티빌 아파트,33.49997195049988,126.52772504603482,1111965
5,단독다가구,년월세,"1,000/1,300",462.8,112.4,<신축>선흘리 전원주택 년세,,,1115789
6,공장/창고,임대,"5,000/3,000",330.5,330.5,구제주-1004번 제주시 조천읍 와흘리 창고100평140평150평 물류창고임대,,,807374
7,단독다가구,매매,"43,000",469,92.5,"★해안초등학교남쪽단독주택(즉시입주,마당및텃밭있음)★",,,1099456
8,상가점포,임대,"1,500/1,800",165.3,,L-523이도동 전용주차장 상가&주택 임대,,,1096048
9,토지임야,매매,"10,000",2116,,화북이동 투자용 맹지,33.496387262830154,126.56930807675566,1115467
10,전원농가주택,매매,"47,000",682,66.10,저지리 아이파크 인근 농가주택,,,812060
11,상가주택,매매,"33,000",207,72.44,한림읍 월림리 2차선 접 상가 매매,,,1016291
12,단독다가구,매매,"67,900",320.7,403.2,신산로 준주거지역 코너 단독주택 매매(상가주택부지),,,1005888
13,상가점포,임대,"2,000/2,300",95.87,,#한라대인근#대도로변#손님이#보글보글#성업중#상가점포임대,,,1103218
14,상가점포,임대,500/800,99.17,99.17,성산읍수산리 금백조로 씨유했던자리임대점포2개,33.4393457281168,126.86915636662154,1099914
15,토지임야,매매,"50,820",400.0,,이도한일베라체아파트 남쪽 연신로 4차선 도로 잘접한 토지 매매,,,1115804
16,원룸투룸쓰리룸,년월세,200/45,35,25.7,★아델레지던스1 분리형원룸/남향(농협옆),,,1115473
17,토지임야,매매,"15,000",698,,급매/ 구좌읍행원리/ 211평/ 도로 접/ 건축 가능 토지,,,1111407
18,단독다가구,매매,"37,000",271,172.38,함덕농협인근 단독매매,,,1111533
19,단독다가구,년월세,200/800,330.5,85.93,[200/800] 애월읍 수산리 타운하우스 / 물메초,33.46603696114463,126.38707081498097,988201
20,상가점포,임대,"5,000/4,000",306.5,234,아라동 음식점 용도 상가점포 임대,,,1050376
21,빌라연립다세대,매매,"28,000",99.15,72.78,**스위첸인근**상태최상 태성리치빌,33.47376444741789,126.54020485160876,1111497
22,단독다가구,매매,"42,000",376.9,165.3,#강추*급매#김녕리농가주택 돌집/3채,,,1111562
23,상가점포,임대,"5,000/5,000",247,247,"연북로 대로변 한블럭뒷편,신축,무권리금,100py",,,1111408
24,원룸투룸쓰리룸,전세,"10,000",59.50,49.32,유나이티드/올~리모델링/풀옵션,,,1114876
25,빌라연립다세대,매매,"26,000",78.53,72.69,H-219♧조천읍 위치좋은 단지형 다세대 매매♧,,,1105022
26,빌라연립다세대,년월세,"1,000/1,200",105.8,,컨디션 최상 노형동 신축빌라 년세,33.48400771059258,126.46250579430017,1058020
27,빌라연립다세대,매매,"22,000",99.15,82.63,함덕오일시장인근*주거형오피스텔*,,,1110776
28,빌라연립다세대,매매,"37,500",100,84.38,★노형동`휴스토리(복층형)매매//남향/즉시입주★,33.47848780329422,126.4620062474548,1009818
29,상가점포,임대,"2,000/3,000",2011,360,공항10분거리  건물100평 대형 상가 임대,,,1084610
30,오피스텔,년월세,0/0,,,노,,,853968
31,전원농가주택,매매,"39,000",378,143,김녕리 마을안 3개동 귀한 돌집 매매,,,1114504
32,전원농가주택,매매,"97,000",546,166.4,가격인하 한라산및 바다뷰 최상인 고급주택,,,1112655
33,공장/창고,임대,"5,000/5,000",991.5,991.5,구제주-1145번 제주시 조천읍 함덕리 1층300평 창고 임대,,,1042296
34,오피스텔,매매,"21,000",76.02,62.80,노형 해든빌 (방2개.화장실 넓은거실),33.48292024376439,126.48151784160689,750757
35,전원농가주택,매매,"38,000",407,145,"(동영상 확인하세요) 전체 리모델링된 돌담 농가주택, 가격조정 가능",,,1115795
36,아파트,매매,"17,000",68,49.89,외도부영1차아파트 매매,,,1100688
37,아파트,매매,"46,500",112,84.99,중흥S-클래스아파트 매매 / 풀확장 / 내부아주좋음 / 협의입주,,,1115446
38,토지임야,매매,"32,000",555.0,,"k-182 신산리 해안도로인접 카페,펜션 대지",,,1111430
39,원룸투룸쓰리룸,년월세,200/70,52.89,42.98,디오션1차 투룸임대,,,1111411
40,원룸투룸쓰리룸,년월세,500/500,,59.86,롯데호텔 뒤 투룸,,,1115464
41,토지임야,매매,"31,000",499,,오등동 애조로 인근 소형창고 부지,33.46648515814962,126.50333263986772,1115445
42,단독다가구,매매,"45,000",184.7,84.48,이도이동 동여중 인근 2층 단독/일부 리모델링,33.48090255957129,126.53182234719337,1111433
43,빌라연립다세대,매매,"21,500",,,빌라분양,,,439195
44,상가점포,임대,"1,000/800",36.36,29.75,"노형부영 아파트 단지내 상가 임대/권리금,관리비 없음",,,1115788
45,아파트,매매,"23,700",111,68.22,신공항 프리미엄 김녕 에메랄드 빛 바다 옆 신축 아파트 센트럴시티에덴 매매!!!,33.556459934351686,126.75482404004424,777334
46,,,,,,,,,1115783
47,숙박콘도펜션,매매,"138,000",1282,848,"신엄리 급,급매 바닷가 팬션 입니다.(급,급매)",,,1095027
48,아파트,매매,"10,000",55,40.06,벽강하이본타워아파트 5층-매매,,,867465
49,원룸투룸쓰리룸,년월세,500/80,82.64,82.64,[최탑층- 복층] 대형 분리형 원룸 + 복층- 세련된 인테리어,,,1115352
50,아파트,매매,"40,000",108.46,84.36,삼화부영2차아파트 매매,33.51387580948066,126.57383672477715,1040944
51,단독다가구,매매,"66,000",247.2,173.06,2층단독주택-6억6천--연동,,,879259
52,상가점포,임대,"2,000/4,000",198.3,188.4,시청 대학로 메인라인 점포,,,1111452
53,빌라연립다세대,매매,"23,000",91.79,84.14,#가격낮춤 #신광로터리 인근 신성나이스빌 급매,33.495325556869865,126.48919175846262,1099045
54,원룸투룸쓰리룸,매매,"18,000",101.4,86.82,함덕 라마다호텔 인근 빌라 임대(전세)합니다.,,,1115777
55,상가주택,매매,"140,000",992,385.44,급매 상가주택 ( 대지300평 ),,,1102817
56,빌라연립다세대,매매,"41,000",104.38,84.40,아라이동 아라중 인근 아라디오파크빌라 신축 분양/중개수수료없음.,,,1033484
57,빌라연립다세대,년월세,200/650,,72.73,아라동  방3/1 천일아파트,33.47170102915191,126.54690723595405,1111443
58,원룸투룸쓰리룸,년월세,200/45,49.59,39.67,【연동신시가지☆1.5룸】 #넓은구조 #에코아이비,,,1115456
59,단독다가구,매매,"27,000",317,143,마을안에 위치한 리모데릴링 된 자그마한 농가주택,,,1115798
60,원룸투룸쓰리룸,전세,"23,000",121.73,84.79,외도 귀한 아파트 전세 1순위,,,1115786
61,숙박콘도펜션,매매,"125,000",1152,319.68,곽지 해수욕장 인근 펜션,33.44566513906174,126.30897612694423,895003
62,토지임야,매매,"56,200",928.7,,도평동 취락지구 281py 대지 + 돌집은꽁짜,33.47847257891553,126.44465455619276,1058977
63,단독다가구,매매,"55,000",796,277.72,"전원주택, 다용도 단독 주택 3채+상가 매매.애월읍 장전리 <매물번호 달 216번>",,,1050002
