,category,cost_type,price,sup_size,dedi_size,lat_num,lng_num,title
0,아파트,전세,"20,000",104,79.85,,,*올리모델링*제주대유대림아파트 전세
1,토지임야,매매,"66,500",879.3,,33.48465766947226,126.41034379502865,★(급급매)추천- 하귀 하나로마트 바로인근 일주도로접한 토지
2,오피스텔,년월세,200/43,33.05,33.05,,,!신축원룸최저가! 완공첫입주 드림타워 연동시가지 사이 카드결제가능 입지 인프라굿굿!!
3,오피스텔,년월세,200/43,33.05,33.05,,,!신축원룸최저가! 완공첫입주 드림타워 연동시가지 사이 카드결제가능 입지 인프라굿굿!!
4,원룸투룸쓰리룸,년월세,200/43,33.05,33.05,,,!신축원룸최저가! 완공첫입주 드림타워 연동시가지 사이 카드결제가능 입지 인프라굿굿!!
5,원룸투룸쓰리룸,년월세,900/950,89.23,89.23,,,!아라동최다매물! 신축쓰리룸방3화2 테라스 엘베있고 초등학교인근 입지 인프라최고!!
6,토지임야,매매,"144,000",1486,,,,오조리  성산일출봉. 우도 조망  토지 급매매
7,상가건물,매매,"380,000",1520.64,1944,,,번영로 대도로 접 상가건물 매매
8,빌라연립다세대,매매,"23,000",88.6763,66.1186,33.48029358358999,126.4592881143968,빌라매매
9,빌라연립다세대,매매,"21,500",,,,,빌라분양
10,토지임야,매매,"47,000",684,,,,도두1동 토지매매***
11,빌라연립다세대,매매,"26,000",78.53,72.69,,,H-219♧조천읍 위치좋은 단지형 다세대 매매♧
12,토지임야,매매,"21,700",327.2,,33.25054758078856,126.39027068671129,"★ ""급""추천-상예1동 마을회관인근 2종일반주거지역내 대지"
13,단독다가구,매매,"59,000",578.4,82.63,,,★ 추천-해안초 인근 전원농가주택
14,아파트,전세,"25,000",152,116.7,33.485556562905614,126.48673134421965,연동-메종글래드호텔인근 굿윌카운티아파트 전세
15,아파트,년월세,300/700,78,59.93,33.518360256624355,126.57434000983321,★쓰리룸-올리모델링★화북주공4단지아파트 년월세
16,빌라연립다세대,매매,"34,000",99.98,79.78,33.48342560832556,126.54206038965165,복층형.아라초록빌테라스있음.상태최상
17,단독다가구,전세,"25,000",,76.62,,,애월 타운 귀한전세!!!
18,빌라연립다세대,매매,"37,400",125.6,85.93,,,해안동 신축 고급 단지형빌라
19,빌라연립다세대,매매,"23,000",91.79,84.14,33.495325556869865,126.48919175846262,#가격낮춤 #신광로터리 인근 신성나이스빌 급매
20,상가점포,임대,500/800,99.17,99.17,33.4393457281168,126.86915636662154,성산읍수산리 금백조로 씨유했던자리임대점포2개
21,토지임야,매매,"14,500",548.8,,,,납읍리 과수원 주택도가능함
22,단독다가구,매매,"55,000",796,277.72,,,"전원주택, 다용도 단독 주택 3채+상가 매매.애월읍 장전리 <매물번호 달 216번>"
23,빌라연립다세대,매매,"21,000",82.64,,,,(초강추) 내도동 신축매매<매물 번호 샛별 81번>
24,전원농가주택,년월세,"3,000/2,300",314.3,173.63,,,# [방4/연세] 해안초인근  3층 럭셔리타운하우스 연세
25,상가점포,매매,"38,480",62,,,,"@하우스디어반@2층상가,사무실/신축분양/면적다양/금액다양/중개보수없음@@"
26,전원농가주택,매매,"160,000",2606,91,,,16억-전원주택+과수원-애월 수산리
27,숙박콘도펜션,매매,"87,000",2406,320.6,,,급매-8억7천-통나무펜션 10동- 납읍리
28,상가주택,매매,"85,000",331,181,,,식당1층+주택1층=8억5천-연동
29,숙박콘도펜션,매매,"80,000",2239,298,,,추천-8억-목조펜션2동-한림리
30,아파트,매매,"10,000",55,40.06,,,벽강하이본타워아파트 5층-매매
31,단독다가구,매매,"66,000",247.2,173.06,,,2층단독주택-6억6천--연동
32,숙박콘도펜션,매매,"125,000",1663,771,,,급매 - 12억5천-펜션18객실-애월수산
33,상가점포,임대,"3,000/3,500",82,82,,,1층상가(옷가게)임대-연동
34,토지임야,매매,"27,000",598,,,,추천-2억7천-건축용도-선흘리
35,토지임야,매매,"15,000",698,,,,추천-1억5천-주택가능-행원리
36,단독다가구,매매,"65,000",478,176.27,33.50694020440091,126.52697688274921,2층 단독 주택
37,빌라연립다세대,매매,"32,000",111,84.3,33.4703523962504,126.50997613046904,정실마을 위더스빌28차 매매
38,토지임야,매매,"27,000",598,,,,선흘리 마을 단독주택용토지 매매
39,아파트,매매,"86,000",154,119.29,33.479508979151575,126.4885486926948,(매매)한라초인근 대림e편한세상2차아파트
40,아파트,전세,"25,000",112.3,82,,,강력추천~!! 이미애 피부과 맞은편
41,빌라연립다세대,매매,"24,500",90.8,79,,,급매~~!!전망 좋은 월산 스페이스 매매합니다.
42,빌라연립다세대,매매,"18,500",72,50,33.539917182564686,126.67758420304739,함덕 72세대 중 마지막 5세대 분양
43,빌라연립다세대,년월세,"1,000/1,100",110.8,71.7,33.54560457056477,126.66010725024337,함덕 33py 완전 풀옵션 임대
44,아파트,매매,"29,000",105.8,,,,에코퍼플 주거용 오피스텔 급매
45,단독다가구,매매,"105,000",551.9,188.4,,,▶정실마을 고급단독주택 강력추천◀  오라이동
46,빌라연립다세대,매매,"43,000",105.8,,,,정원파인즈14차 1층
47,단독다가구,매매,"45,000",138.8,76.02,,,노형동 단독주택 매매 *투자* *실거주용* *추천*
48,아파트,매매,0,130,103.48,,,도남이편한/매물구함/매수자대기중 급매구함.도남e-편한세상아파트
49,상가점포,임대,"5,000/3,000",33.050,,,,**동문시장 메인 입구/관광객많은 거리
50,빌라연립다세대,매매,"39,500",102.5,85.93,,,*연북로 아르떼빌 복층 매매 / 빠른입주가능
51,아파트,전세,"16,000",66,45.9,,,부영2차아파트 전세
